DATE, NORMAL-LEVEL,RES-LEVEL,AF,CHANGE-ACRE-FEET,STORED,DRAWDOWN,OUTFLOW,SUPPLY,INFLOW,
1989-01-14,   250.10,  250.35,    112190.,  1277.,   644.0,        0,     96.0,    67.0,    807.0,
1989-01-15,   250.10,  250.42,    113002.,   812.,   409.0,        0,     96.0,    48.0,    553.0,
1989-01-16,   250.10,  250.48,    113699.,   697.,   351.0,        0,    167.0,    31.0,    549.0,
1989-01-17,   250.10,  250.46,    113467.,  -232.,       0,   -117.0,    238.0,    48.0,    169.0,
1989-01-18,   250.10,  250.47,    113583.,   116.,    58.0,        0,    238.0,    50.0,    346.0,
1989-01-19,   250.10,  250.47,    113583.,     0.,     0.0,        0,    238.0,    49.0,    287.0,
1989-01-20,   250.10,  250.44,    113235.,  -348.,       0,   -175.0,    454.0,    46.0,    325.0,
1989-01-21,   250.10,  250.29,    111493., -1742.,       0,   -878.0,    671.0,    62.0,   -145.0,
1989-01-22,   250.10,  250.23,    110797.,  -696.,       0,   -351.0,    671.0,    46.0,    366.0,
1989-01-23,   250.10,  250.13,    109636., -1161.,       0,   -585.0,    670.0,    31.0,    116.0,
1989-01-24,   250.10,  250.06,    108823.,  -813.,       0,   -410.0,    474.0,    55.0,    119.0,
1989-01-25,   250.10,  250.02,    108359.,  -464.,       0,   -234.0,    150.0,    45.0,    -39.0,
1989-01-26,   250.10,  250.04,    108591.,   232.,   117.0,        0,    150.0,    47.0,    314.0,
1989-01-27,   250.10,  250.03,    108475.,  -116.,       0,    -58.0,    150.0,    48.0,    140.0,
1989-01-28,   250.10,  250.00,    108127.,  -348.,       0,   -175.0,    150.0,    61.0,     36.0,
1989-01-29,   250.10,  249.99,    108019.,  -108.,       0,    -54.0,    150.0,    62.0,    158.0,
1989-01-30,   250.10,  250.05,    108707.,   688.,   347.0,        0,    150.0,    31.0,    528.0,
1989-01-31,   250.10,  249.97,    107803.,  -904.,       0,   -456.0,    150.0,    52.0,   -254.0,
1989-02-01,   250.10,  249.96,    107694.,  -109.,       0,    -55.0,    150.0,    42.0,    137.0,
1989-02-02,   250.10,  249.94,    107478.,  -216.,       0,   -109.0,    150.0,    53.0,     94.0,
1989-02-03,   250.10,  249.97,    107803.,   325.,   164.0,        0,    123.0,    45.0,    332.0,
1989-02-04,   250.10,  249.92,    107262.,  -541.,       0,   -273.0,     96.0,    72.0,   -105.0,
1989-02-05,   250.10,  250.02,    108359.,  1097.,   553.0,        0,     96.0,    36.0,    685.0,
1989-02-06,   250.10,  250.07,    108940.,   581.,   293.0,        0,     96.0,    30.0,    419.0,
1989-02-07,   250.10,  250.11,    109404.,   464.,   234.0,        0,     96.0,    50.0,    380.0,
1989-02-08,   250.10,  250.19,    110333.,   929.,   468.0,        0,     96.0,    46.0,    610.0,
1989-02-09,   250.10,  250.13,    109636.,  -697.,       0,   -351.0,     96.0,    46.0,   -209.0,
1989-02-10,   250.10,  250.15,    109868.,   232.,   117.0,        0,     96.0,    46.0,    259.0,
1989-02-11,   250.10,  250.14,    109752.,  -116.,       0,    -58.0,     96.0,    68.0,    106.0,
1989-02-12,   250.10,  250.15,    109868.,   116.,    58.0,        0,     96.0,    47.0,    201.0,
1989-02-13,   250.10,  250.14,    109752.,  -116.,       0,    -58.0,     96.0,    38.0,     76.0,
1989-02-14,   250.10,  250.14,    109752.,     0.,     0.0,        0,     96.0,    47.0,    143.0,
1989-02-15,   250.10,  250.15,    109868.,   116.,    58.0,        0,     96.0,    42.0,    196.0,
1989-02-16,   250.10,  250.16,    109984.,   116.,    58.0,        0,     96.0,    60.0,    214.0,
1989-02-17,   250.10,  250.16,    109984.,     0.,     0.0,        0,     96.0,    52.0,    148.0,
1989-02-18,   250.10,  250.31,    111725.,  1741.,   878.0,        0,     96.0,    57.0,   1031.0,
