2000-02-25, 251.50,  251.92,    131151.0, -1519.0,       0,   -766.0,   1316.0,    65.,    615
2000-02-26, 251.50,  251.80,    129662.0, -1489.0,       0,   -751.0,   1024.0,    89.,    362
2000-02-27, 251.50,  251.80,    129662.0,     0.0,     0.0,        0,   1023.0,    65.,   1088
2000-02-28, 251.50,  251.91,    131027.0,  1365.0,   688.0,        0,   1024.0,    73.,   1785
2000-02-29, 251.50,  251.86,    130407.0,  -620.0,       0,   -313.0,   1024.0,   101.,    812
2000-03-01, 251.50,  251.78,    129414.0,  -993.0,       0,   -501.0,   1023.0,    85.,    607
2000-03-02, 251.50,  251.73,    128794.0,  -620.0,       0,   -313.0,   1023.0,    65.,    775
2000-03-03, 251.50,  251.65,    127801.0,  -993.0,       0,   -501.0,    677.0,    60.,    236
2000-03-04, 251.50,  251.61,    127304.0,  -497.0,       0,   -251.0,    504.0,   111.,    364
2000-03-05, 251.50,  251.59,    127056.0,  -248.0,       0,   -125.0,    504.0,    75.,    454
2000-03-06, 251.50,  251.56,    126684.0,  -372.0,       0,   -188.0,    503.0,    64.,    379
2000-03-07, 251.50,  251.56,    126684.0,     0.0,     0.0,        0,    333.0,    76.,    409
2000-03-08, 251.50,  251.56,    126684.0,     0.0,     0.0,        0,    240.0,    86.,    326
2000-03-09, 251.50,  251.57,    126808.0,   124.0,    63.0,        0,    240.0,    40.,    343
2000-03-10, 251.50,  251.56,    126684.0,  -124.0,       0,    -63.0,    240.0,    63.,    240
2000-03-11, 251.50,  251.50,    125940.0,  -744.0,       0,   -375.0,    240.0,   102.,    -33
2000-03-12, 251.50,  251.55,    126560.0,   620.0,   313.0,        0,    240.0,    76.,    629
2000-03-13, 251.50,  251.52,    126188.0,  -372.0,       0,   -188.0,    209.0,    70.,     91
2000-03-14, 251.50,  251.53,    126312.0,   124.0,    63.0,        0,    153.0,    61.,    277
2000-03-15, 251.50,  251.52,    126188.0,  -124.0,       0,    -63.0,    153.0,   109.,    199
2000-03-16, 251.50,  251.55,    126560.0,   372.0,   188.0,        0,    153.0,    82.,    423
