filename,hwin,winspace,smoothing,num_mins,mins_2009_2011,mins_2013_2016
dados_jun2018.csv_win_60_incr_1_smooth_4_FI.csv,60,1,4,14.0,4.0,6.0
dados_jun2018.csv_win_60_incr_1_smooth_6_FI.csv,60,1,6,17.0,4.0,5.0
dados_jun2018.csv_win_60_incr_2_smooth_2_FI.csv,60,2,2,11.0,3.0,5.0
dados_jun2018.csv_win_60_incr_2_smooth_3_FI.csv,60,2,3,10.0,3.0,3.0
dados_jun2018.csv_win_60_incr_2_smooth_4_FI.csv,60,2,4,10.0,3.0,4.0
dados_jun2018.csv_win_60_incr_2_smooth_6_FI.csv,60,2,6,11.0,3.0,5.0
dados_jun2018.csv_win_60_incr_3_smooth_2_FI.csv,60,3,2,10.0,2.0,3.0
dados_jun2018.csv_win_60_incr_3_smooth_3_FI.csv,60,3,3,9.0,2.0,3.0
dados_jun2018.csv_win_60_incr_3_smooth_4_FI.csv,60,3,4,9.0,2.0,4.0
dados_jun2018.csv_win_60_incr_3_smooth_6_FI.csv,60,3,6,8.0,2.0,3.0
dados_last_of_month.csv_win_24_incr_3_smooth_6_FI.csv,month.csv,24,3,5.0,1.0,1.0
dados_last_of_month.csv_win_24_incr_3_smooth_6_FI.csv,month.csv,24,3,5.0,1.0,1.0
dados_last_of_month.csv_win_24_incr_3_smooth_6_FI.csv,month.csv,24,3,5.0,1.0,1.0
