,Time_Step,FI,Smooth_FI
0,2006-12-31,4.127016653792579,4.064457853507006
1,2007-02-28,2.7155231214434457,4.064457853507006
2,2007-04-30,4.127016653792579,4.064457853507006
3,2007-06-30,5.288274984999422,4.076183666454777
4,2007-08-31,4.173919905583663,4.074427230561621
5,2007-10-31,2.708497377870821,3.7351384204615234
6,2007-12-31,2.7698614133921895,3.6008368121442524
7,2008-02-29,4.751068551730339,3.81200084324841
8,2008-04-30,5.018576030000291,4.473438671014555
9,2008-06-30,5.354248688935403,4.8244532940624225
10,2008-08-31,4.173919905583663,4.636686156129838
11,2008-10-31,4.000000000000001,4.829271350237196
12,2008-12-31,5.788916806429723,4.86092263431151
13,2009-02-28,5.480853825232661,4.973093948389252
14,2009-04-30,4.622605161894626,5.355284177709638
15,2009-06-30,5.528760917281541,4.9415486251560985
16,2009-08-31,4.133974596215566,4.407943195177278
17,2009-10-31,3.346432105317372,4.220473394915185
18,2009-12-31,3.872725960846249,3.631443946297505
19,2010-02-28,3.172643122810827,3.3924072546444144
20,2010-04-30,3.1778278296032063,3.317800229902023
21,2010-06-30,3.0480040063478095,3.1578428935642506
22,2010-08-31,3.2328966154951604,3.310919221080141
23,2010-10-31,3.7849484328743874,3.7674757505048255
24,2010-12-31,5.00405394730194,4.237218797055753
25,2011-02-28,4.926976192551521,4.113622808912741
26,2011-04-30,2.7385126629231102,4.019113055330408
27,2011-06-30,3.4069094185450526,3.6464426848859013
28,2011-08-31,3.5133724655239162,2.948424393585146
29,2011-10-31,2.134903027348494,3.0412246848612305
30,2011-12-31,3.109713828027454,2.871706362354832
31,2012-02-29,2.7288361285194673,2.996841517382066
32,2012-04-30,4.013913085632864,3.4665940319531536
33,2012-06-30,4.013913085632864,3.4349575456014385
34,2012-08-31,2.983167882620598,3.545641732285027
35,2012-10-31,3.171572875253809,3.545641732285027
36,2012-12-31,4.013913085632864,3.8807256331106643
37,2013-02-28,5.354248688935403,4.389577669955592
38,2013-04-30,5.018576030000291,4.78445158907472
39,2013-06-30,4.751068551730339,5.39912273420947
40,2013-08-31,6.472597666171847,5.047567535718457
41,2013-10-31,3.9480278949713328,4.283407467272497
42,2013-12-31,1.961935756216462,3.5543675339832035
43,2014-02-28,1.834908818573152,2.31924235965036
44,2014-04-30,1.5320969688404675,1.8657547647075674
45,2014-06-30,2.134077515200175,2.039779412258099
46,2014-08-31,2.6580343464185914,2.534741640095433
47,2014-10-31,3.8147577299225044,2.650987576884731
48,2014-12-31,1.997080715997667,2.694998893183154
49,2015-02-28,2.310122780393876,2.512126826810956
50,2015-04-30,1.9265460809297874,2.12733729194084
51,2015-06-30,2.275599590442028,2.3081797281794465
52,2015-08-31,2.720450460952087,2.653341116734076
53,2015-10-31,3.690768334612395,2.7365214362988297
54,2015-12-31,2.259267359188812,2.736030304112546
55,2016-02-29,2.2736350616968917,2.7593878015876427
56,2016-04-30,2.8138804508524746,2.4051044833587696
57,2016-06-30,2.2736350616968917,2.7861950901721073
58,2016-08-31,3.7836297864421526,2.888754220873892
59,2016-10-31,2.6838715845040353,2.7096797077105634
60,2016-12-31,2.0975823981991737,2.8507015272442473
61,2017-02-28,2.837722339831621,2.411455702129608
62,2017-04-30,2.0266464859835973,2.1772264387127294
63,2017-06-30,1.7469545308365182,2.101641540935397
64,2017-08-31,1.7952428070898252,2.091389745923628
65,2017-10-31,2.7967151597845503,2.6346151620667655
66,2017-12-31,4.199548150556155,3.2143843489748036
67,2018-02-28,4.0660312784686825,3.775027292789275
68,2018-04-30,4.037814582347708,4.035279087801044
69,2018-06-30,3.837722339831616,4.035279087801044
