,Time_Step,FI,Smooth_FI
0,2004-12-31,3.1389982519138813,3.472090350408884
1,2005-03-31,2.4222664897728254,3.472090350408884
2,2005-06-30,4.751068551730339,3.472090350408884
3,2005-09-30,3.14532269628008,3.472090350408884
4,2005-12-31,3.0111234843014127,3.785353313423285
5,2006-03-31,4.363762628454764,3.8131616135589503
6,2006-06-30,5.018576030000291,3.857746193270609
7,2006-09-30,2.589116290586817,4.169955082223978
8,2006-12-31,5.018576030000291,4.734999416878591
9,2007-03-31,5.018576030000291,4.763688709613173
10,2007-06-30,6.401389492229099,4.665159488664159
11,2007-09-30,4.535898384862251,4.7768284089008155
12,2007-12-31,4.427400704306209,4.628235179532864
13,2008-03-31,3.259129812006752,4.583650599821205
14,2008-06-30,4.127016653792579,4.409127132605588
15,2008-09-30,4.751068551730339,4.430959391903326
16,2008-12-31,5.354248688935403,4.283803704222248
17,2009-03-31,4.666891940648683,4.140780401846538
18,2009-06-30,3.5444665782197458,3.8202229011593816
19,2009-09-30,2.4009899977524967,3.4547917358522846
20,2009-12-31,2.203671649669644,2.9661280359918556
21,2010-03-31,2.558481559887751,2.592414812472176
22,2010-06-30,2.4222664897728254,2.421501659125333
23,2010-09-30,2.4246125995305974,3.3546699928332515
24,2010-12-31,2.5189876581386823,4.320724717888311
25,2011-03-31,8.0,4.730740462907067
26,2011-06-30,8.0,5.014865490243693
27,2011-09-30,5.018576030000291,5.277430056988592
28,2011-12-31,4.127016653792579,5.526584294904289
29,2012-03-31,4.000000000000001,5.260149210275803
30,2012-06-30,4.013913085632864,4.3466471532989175
31,2012-09-30,6.401389492229099,3.91392889659434
32,2012-12-31,2.5189876581386823,3.657612169393379
33,2013-03-31,2.4222664897728254,3.7827902613484334
34,2013-06-30,2.589116290586817,3.560176188367779
35,2013-09-30,4.751068551730339,2.888006043314737
36,2013-12-31,2.6782286477489383,2.749309258968381
37,2014-03-31,2.368368621910833,2.8741936565485466
38,2014-06-30,1.68680695206055,2.9607759457457234
39,2014-09-30,3.171572875253809,2.5762751302483053
40,2014-12-31,3.108610025769887,2.5762751302483053
41,2015-03-31,2.444063658745819,2.5762751302483053
