,index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
0,1,1,1.0,3.3221300000000005,160.278052519593,70973.6441049004,32836.3598179853,155.752405532854,56.97913604298329,60245.2912131512,27521.0877091935,4390.827016895851,5747.23691410198,1.2096740590006299,-1.85235303026745
1,2,2,0.999333333333333,3.3221300000000005,293.77887746591,65619.9616075045,32836.3598179853,145.517509952933,56.9791360429834,56142.6188035908,27521.087709193598,4477.59401504006,5747.236914101911,0.933741308914585,-1.85235303026746
2,3,3,0.998666666666667,3.33554,232.841694603779,60266.279110108495,32836.3598179853,135.282614373011,56.9791360429834,52039.9463940303,27521.087709193598,4564.36101318427,5747.236914101911,0.657808558828539,-1.85235303026746
3,4,4,0.998,3.34861,143.371262066811,55544.176191988605,32836.3598179853,125.680154205718,56.9791360429834,48443.749598955,27521.087709193598,4647.3385212494895,5747.236914101911,0.390327671713854,-1.85235303026746
4,5,5,0.997333333333333,3.36145,79.6664857840545,50822.073273868606,32836.3598179853,116.07769403842501,56.9791360429834,44847.5528038797,27521.087709193598,4730.31602931471,5747.236914101911,0.122846784599169,-1.85235303026746
5,6,6,0.996666666666667,3.3746199999999997,54.19237841983979,46358.1746623551,32836.3598179853,106.690403594597,56.9791360429834,41595.9300462534,27521.087709193598,4801.15578916152,5747.236914101911,-0.14991734062555098,-1.85235303026746
6,7,7,0.996,3.38715,25.3094454337795,41894.2760508416,32836.3598179853,97.3031131507694,56.9791360429834,38344.307288627206,27521.087709193598,4871.995549008329,5747.236914101911,-0.422681465850271,-1.85235303026746
7,8,8,0.995333333333333,3.4005300000000003,45.3342270891154,37358.4574485586,32836.3598179853,87.3867492770723,56.9791360429834,34945.508389644,27521.087709193598,4939.01643314199,5747.236914101911,-0.7185701255667579,-1.85235303026746
8,9,9,0.994666666666667,3.41298,18.9373238708402,32822.638846275695,32836.3598179853,77.4703854033753,56.9791360429834,31546.7094906608,27521.087709193598,5006.03731727565,5747.236914101911,-1.0144587852832399,-1.85235303026746
9,10,10,0.9940000000000001,3.42545,6.124480797629349,30876.7967801323,32836.3598179853,69.2702972200735,56.9791360429834,29100.9283605319,27521.087709193598,5063.071514510871,5747.236914101911,-1.29018745711669,-1.85235303026746
10,11,11,0.993333333333333,3.4382300000000003,51.9868348567121,28930.954713989,32836.3598179853,61.0702090367716,56.9791360429834,26655.1472304029,27521.087709193598,5120.1057117460905,5747.236914101911,-1.5659161289501298,-1.85235303026746
11,12,12,0.992666666666667,3.45151,148.285119567279,31438.9706640879,32836.3598179853,58.595864107953794,56.9791360429834,28058.105070334503,27521.087709193598,5068.73031154979,5747.236914101911,-1.68643606649642,-1.85235303026746
12,13,1,0.992,3.46432,51.4642372606608,33946.986614186804,32836.3598179853,56.121519179135895,56.9791360429834,29461.062910266002,27521.087709193598,5017.3549113535,5747.236914101911,-1.8069560040427102,-1.85235303026746
13,14,2,0.991333333333333,3.47718,138.62135013414,39836.8773361269,32836.3598179853,57.7725255139499,56.9791360429834,34644.231320226405,27521.087709193598,4930.50736444997,5747.236914101911,-1.7530499813559601,-1.85235303026746
14,15,3,0.990666666666667,3.49002,48.012740534612504,45726.768058067,32836.3598179853,59.42353184876389,56.9791360429834,39827.3997301868,27521.087709193598,4843.65981754643,5747.236914101911,-1.6991439586692199,-1.85235303026746
15,16,4,0.99,3.50296,52.3980228887503,49720.7376767362,32836.3598179853,61.891159267096995,56.9791360429834,43873.303156083304,27521.087709193598,4814.48441214061,5747.236914101911,-1.5791537505702702,-1.85235303026746
16,17,5,0.989333333333333,3.51605,40.1197577382456,53714.7072954054,32836.3598179853,64.35878668543,56.9791360429834,47919.2065819797,27521.087709193598,4785.309006734779,5747.236914101911,-1.45916354247133,-1.85235303026746
17,18,6,0.988666666666667,3.52901,17.121514557929302,53849.2573909913,32836.3598179853,64.4002475362725,56.9791360429834,48702.528979351504,27521.087709193598,4809.10398620997,5747.236914101911,-1.42155783594827,-1.85235303026746
18,19,7,0.988,3.5418300000000005,52.2208069076518,53983.8074865773,32836.3598179853,64.4417083871149,56.9791360429834,49485.8513767233,27521.087709193598,4832.89896568515,5747.236914101911,-1.38395212942521,-1.85235303026746
19,20,8,0.987333333333333,3.5545400000000003,106.17996789633101,52666.645451865705,32836.3598179853,62.65860613586229,56.9791360429834,48377.8027990537,27521.087709193598,4897.76080561695,5747.236914101911,-1.4347089775959099,-1.85235303026746
20,21,9,0.986666666666667,3.5672699999999997,78.2490208191344,51349.4834171542,32836.3598179853,60.8755038846097,56.9791360429834,47269.7542213841,27521.087709193598,4962.62264554876,5747.236914101911,-1.4854658257666,-1.85235303026746
21,22,10,0.986,3.58019,49.8701657040452,48636.1010139173,32836.3598179853,57.8529941787677,56.9791360429834,44824.461386730596,27521.087709193598,5042.52524079521,5747.236914101911,-1.6131515675019,-1.85235303026746
22,23,11,0.985333333333333,3.5931800000000003,51.541726788449104,45922.718610680306,32836.3598179853,54.8304844729258,56.9791360429834,42379.1685520772,27521.087709193598,5122.42783604166,5747.236914101911,-1.7408373092371898,-1.85235303026746
