,index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted,stage1,stage2,stage3
0,1,1,1,3.31555,194.055027668908,40303.7894810803,40009.6947917794,97.5506359034862,72.23403665808,35249.6074153405,33419.1929057359,4799.34972037454,5912.8322529343895,-0.467969509240579,-1.2496570476348001,False,False,False
1,2,2,1,3.31555,227.440605501376,40405.8398997968,40009.6947917794,97.0515651348629,72.2340366580798,35266.6009919289,33419.1929057358,4808.51217084381,5912.83225293437,-0.44834248231526896,-1.2496570476348001,False,False,False
2,3,3,1,3.32856,132.745601690732,40507.8903185132,40009.6947917794,96.55249436623959,72.2340366580798,35283.5945685173,33419.1929057358,4817.67462131308,5912.83225293437,-0.4287154553899579,-1.2496570476348001,False,False,False
3,4,4,1,3.3414699999999997,53.1177821435025,40915.6379556556,40009.6947917794,96.4246523287635,72.2340366580798,35644.2837732477,33419.1929057358,4843.591483311071,5912.83225293437,-0.403795519827308,-1.2496570476348001,True,True,False
4,5,5,1,3.35431,72.4052323394278,41323.3855927979,40009.6947917794,96.2968102912874,72.2340366580798,36004.9729779782,33419.1929057358,4869.50834530906,5912.83225293437,-0.37887558426465706,-1.2496570476348001,True,False,False
5,6,6,1,3.36741,87.1140029048093,41935.1649726159,40009.6947917794,96.34787347766779,72.2340366580798,36574.4689614137,33419.1929057358,4900.39905663993,5912.83225293437,-0.35611439334446005,-1.2496570476348001,False,False,False
6,7,7,1,3.38036,80.75481580274992,42546.944352434,40009.6947917794,96.3989366640482,72.2340366580798,37143.9649448492,33419.1929057358,4931.289767970789,5912.83225293437,-0.333353202424263,-1.2496570476348001,False,False,False
7,8,8,1,3.3933400000000002,49.7327520252406,43555.4998568701,40009.6947917794,97.06426344838529,72.2340366580798,37909.6735476221,33419.1929057358,4954.001316813889,5912.83225293437,-0.29253301455542696,-1.2496570476348001,True,False,False
8,9,9,1,3.4067800000000004,31.1828237044102,44564.0553613063,40009.6947917794,97.7295902327224,72.2340366580798,38675.382150395,33419.1929057358,4976.712865656989,5912.83225293437,-0.251712826686591,-1.2496570476348001,True,True,False
9,10,10,1,3.4192699999999996,46.369970274981,46428.7387623495,40009.6947917794,100.543164391297,72.2340366580798,40348.2865623284,33419.1929057358,5036.4105345241705,5912.83225293437,-0.15230007349202201,-1.2496570476348001,False,False,False
10,11,11,1,3.4319699999999997,51.9952104268213,48293.4221633928,40009.6947917794,103.35673854987199,72.2340366580798,42021.1909742617,33419.1929057358,5096.10820339135,5912.83225293437,-0.0528873202974522,-1.2496570476348001,False,False,False
11,12,12,1,3.44538,58.50166807574921,49488.236343280194,40009.6947917794,103.421455725297,72.2340366580798,43839.278236712795,33419.1929057358,5175.558684609679,5912.83225293437,-0.0735915244857126,-1.2496570476348001,False,False,False
12,13,1,1,3.4582,194.61963417682998,50683.050523167694,40009.6947917794,103.48617290072201,72.2340366580798,45657.3654991639,33419.1929057358,5255.00916582801,5912.83225293437,-0.0942957286739731,-1.2496570476348001,False,False,False
13,14,2,1,3.47094,297.44013681126,54739.490491952005,40009.6947917794,103.77810547277201,72.2340366580798,49390.914726011,33419.1929057358,5300.64754056147,5912.83225293437,-0.0934998019151903,-1.2496570476348001,False,False,False
14,15,3,1,3.4842699999999995,187.36365498833803,58795.9304607363,40009.6947917794,104.07003804482201,72.2340366580798,53124.463952858,33419.1929057358,5346.28591529492,5912.83225293437,-0.0927038751564076,-1.2496570476348001,False,False,False
15,16,4,1,3.49725,89.7583984407624,61108.957788670596,40009.6947917794,104.867246600544,72.2340366580798,55484.7866151678,33419.1929057358,5327.79505124792,5912.83225293437,-0.0485643807942379,-1.2496570476348001,False,False,False
16,17,5,1,3.5104800000000003,81.84041806052309,63421.985116605,40009.6947917794,105.664455156266,72.2340366580798,57845.1092774775,33419.1929057358,5309.304187200921,5912.83225293437,-0.00442488643206822,-1.2496570476348001,False,False,False
17,18,6,1,3.5232099999999997,59.9742703475191,62496.5041633078,40009.6947917794,104.62490863302,72.2340366580798,57409.3841534009,33419.1929057358,5287.74946676001,5912.83225293437,-0.0101595284892375,-1.2496570476348001,True,False,False
18,19,7,1,3.53615,28.634400756666103,61571.0232100107,40009.6947917794,103.585362109775,72.2340366580798,56973.6590293244,33419.1929057358,5266.19474631911,5912.83225293437,-0.0158941705464068,-1.2496570476348001,True,True,False
19,20,8,1,3.5491699999999997,86.298588032676,61194.3654950638,40009.6947917794,102.702996030503,72.2340366580798,56305.4876668971,33419.1929057358,5281.75799008381,5912.83225293437,-0.0273981210925632,-1.2496570476348001,False,False,False
20,21,9,1,3.56216,77.2159874637047,60817.70778011691,40009.6947917794,101.820629951231,72.2340366580798,55637.3163044698,33419.1929057358,5297.3212338485,5912.83225293437,-0.0389020716387195,-1.2496570476348001,False,False,False
21,22,10,1,3.5749400000000002,50.1421255487967,61676.5128959325,40009.6947917794,103.769017653917,72.2340366580798,55850.886762729904,33419.1929057358,5350.44806052476,5912.83225293437,0.0244490646558866,-1.2496570476348001,False,False,False
22,23,11,1,3.5878900000000002,49.742274592329395,62535.318011748095,40009.6947917794,105.717405356603,72.2340366580798,56064.457220989905,33419.1929057358,5403.574887201021,5912.83225293437,0.0878002009504927,-1.2496570476348001,False,False,False
23,24,12,1,3.60066,148.59214354572902,60164.3734464681,40009.6947917794,106.601234941448,72.2340366580798,54196.8688994825,33419.1929057358,5407.00028960567,5912.83225293437,0.09740116559073599,-1.2496570476348001,False,False,False
24,25,1,1,3.61329,82.7733936886123,57793.4288811882,40009.6947917794,107.485064526294,72.2340366580798,52329.2805779751,33419.1929057358,5410.425692010321,5912.83225293437,0.107002130230979,-1.2496570476348001,False,False,False
25,26,2,1,3.6265199999999997,249.384468818878,52889.394238127,40009.6947917794,105.501197362381,72.2340366580798,48075.493938255706,33419.1929057358,5361.91516383662,5912.83225293437,0.0137153943143388,-1.2496570476348001,False,False,False
