,index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
0,1,1,1,3.3134300000000003,49.1177694151028,34275.841263257,33725.3559262046,38.1837523757743,68.92391942414311,31770.8905597185,29510.1769792858,4934.85961888971,5962.05058110787,-2.6685658559094705,-1.3687209796522
1,2,2,1,3.3134300000000003,49.1808578253516,34133.1060909039,33725.355926204706,41.64552930579271,68.92391942414349,31218.0208588365,29510.1769792862,4931.4569289017,5962.050581107829,-2.5080056030509903,-1.3687209796522
2,3,3,1,3.32599,185.879769905405,33990.3709185508,33725.355926204706,45.107306235811,68.92391942414349,30665.1511579544,29510.1769792862,4928.05423891368,5962.050581107829,-2.3474453501925,-1.3687209796522
3,4,4,1,3.33846,71.7495311109302,33959.9722396826,33725.355926204706,48.35960518671221,68.92391942414349,30146.3445688979,29510.1769792862,4928.163727933279,5962.050581107829,-2.20134809965795,-1.3687209796522
4,5,5,1,3.35106,84.1746761038935,33929.573560814504,33725.355926204706,51.6119041376134,68.92391942414349,29627.537979841298,29510.1769792862,4928.27321695289,5962.050581107829,-2.0552508491234,-1.3687209796522
5,6,6,1,3.3638,59.799759212842,34150.465173184,33725.355926204706,55.02081208735189,68.92391942414349,29291.4504956496,29510.1769792862,4922.64288529503,5962.050581107829,-1.9105087348421397,-1.3687209796522
6,7,7,1,3.37645,33.706201950081,34371.3567855535,33725.355926204706,58.4297200370904,68.92391942414349,28955.363011457997,29510.1769792862,4917.01255363718,5962.050581107829,-1.7657666205608702,-1.3687209796522
7,8,8,1,3.38849,21.281492307829602,34410.6447108581,33725.355926204706,61.82810520323339,68.92391942414349,28654.6840346884,29510.1769792862,4905.80094029438,5962.050581107829,-1.6247986953294098,-1.3687209796522
8,9,9,1,3.4016300000000004,4.23735315453817,34449.9326361627,33725.355926204706,65.2264903693764,68.92391942414349,28354.0050579189,29510.1769792862,4894.58932695158,5962.050581107829,-1.48383077009794,-1.3687209796522
9,10,10,1,3.4148099999999997,-3.3020841164885004,33653.4884047632,33725.355926204706,66.5521773646983,68.92391942414349,27897.232157256,29510.1769792862,4902.489546369849,5962.050581107829,-1.4338562585346601,-1.3687209796522
10,11,11,1,3.4279599999999997,50.2355069852218,32857.044173363596,33725.355926204706,67.8778643600203,68.92391942414349,27440.4592565932,29510.1769792862,4910.38976578812,5962.050581107829,-1.38388174697137,-1.3687209796522
11,12,12,1,3.44119,51.3793161074434,33441.7915148042,33725.355926204706,69.5444767405029,68.92391942414349,27881.516668824,29510.1769792862,4886.37912507867,5962.050581107829,-1.334591029353,-1.3687209796522
12,13,1,1,3.4541699999999995,51.2871467714517,34026.538856244704,33725.355926204706,71.2110891209855,68.92391942414349,28322.574081054703,29510.1769792862,4862.36848436921,5962.050581107829,-1.2853003117346398,-1.3687209796522
13,14,2,1,3.46673,229.760484910158,34650.6346091654,33725.355926204706,73.8463946525067,68.92391942414349,28745.233089471498,29510.1769792862,4826.25286508106,5962.050581107829,-1.1843421051357,-1.3687209796522
14,15,3,1,3.47935,174.727181349925,35274.7303620862,33725.355926204706,76.4817001840278,68.92391942414349,29167.892097888198,29510.1769792862,4790.13724579291,5962.050581107829,-1.0833838985367499,-1.3687209796522
15,16,4,1,3.4925300000000004,76.45401650527221,36983.4543765107,33725.355926204706,80.6018492761321,68.92391942414349,30470.1463298423,29510.1769792862,4801.2060712184,5962.050581107829,-0.9090449448781909,-1.3687209796522
16,17,5,1,3.5052199999999996,78.2487426112961,38692.1783909351,33725.355926204706,84.7219983682365,68.92391942414349,31772.400561796403,29510.1769792862,4812.274896643889,5962.050581107829,-0.7347059912196279,-1.3687209796522
17,18,6,1,3.5185199999999996,76.4696077015123,40550.4326526036,33725.355926204706,88.7449423374394,68.92391942414349,33932.4573242594,29510.1769792862,4867.20820367591,5962.050581107829,-0.562955185076876,-1.3687209796522
