,index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
0,1,1,1.0,3.3118300000000005,135.016923994825,60436.3601500214,35103.0818065062,116.038404529588,61.41102458058639,58141.787474631295,28889.798828542098,4625.87455896488,5954.5669572855,-1.1123459075245001,-2.43245441171574
1,2,2,0.9985,3.3118300000000005,309.804758271639,56916.9649116588,35103.0818065064,110.342520373278,61.411024580586904,54201.3537622595,28889.798828542003,4729.80126485652,5954.5669572855,-1.04820472075415,-2.43245441171573
2,3,3,0.997,3.32502,189.11091950319698,53397.5696732963,35103.0818065064,104.646636216967,61.411024580586904,50260.920049887696,28889.798828542003,4833.72797074816,5954.5669572855,-0.98406353398379,-2.43245441171573
3,4,4,0.9955,3.33762,64.5971528270905,50742.5561409696,35103.0818065064,100.43932036902099,61.411024580586904,47160.1802565439,28889.798828542003,4925.39236984174,5954.5669572855,-0.931144335624625,-2.43245441171573
4,5,5,0.9940000000000001,3.34977,43.673546569167605,48087.5426086429,35103.0818065064,96.23200452107642,61.411024580586904,44059.4404632,28889.798828542003,5017.05676893532,5954.5669572855,-0.8782251372654609,-2.43245441171573
5,6,6,0.9925,3.3625,23.9617630850176,45824.8355143124,35103.0818065064,92.7770661148384,61.411024580586904,41499.4056236917,28889.798828542003,5094.49797753106,5954.5669572855,-0.8602961670215631,-2.43245441171573
6,7,7,0.991,3.3752699999999995,32.4637256666331,43562.1284199819,35103.0818065064,89.3221277086004,61.411024580586904,38939.3707841833,28889.798828542003,5171.9391861267895,5954.5669572855,-0.842367196777665,-2.43245441171573
7,8,8,0.9895,3.3877900000000003,25.787714184226605,41454.2525864212,35103.0818065064,85.96805570604349,61.411024580586904,36433.2716518558,28889.798828542003,5238.205441994261,5954.5669572855,-0.824035531776182,-2.43245441171573
8,9,9,0.988,3.40076,24.407892230935698,39346.376752860495,35103.0818065064,82.6139837034866,61.411024580586904,33927.1725195283,28889.798828542003,5304.47169786174,5954.5669572855,-0.8057038667746981,-2.43245441171573
9,10,10,0.9865,3.41335,47.9743838634204,40813.926328028196,35103.0818065064,84.9326346644772,61.411024580586904,34179.3335793085,28889.798828542003,5310.9133156885,5954.5669572855,-0.698423378115052,-2.43245441171573
10,11,11,0.985,3.42581,49.191800381238004,42281.4759031959,35103.0818065064,87.2512856254678,61.411024580586904,34431.4946390887,28889.798828542003,5317.35493351526,5954.5669572855,-0.5911428894554059,-2.43245441171573
11,12,12,0.9835,3.43856,49.4614962236334,44294.4049995013,35103.0818065064,92.27783881031841,61.411024580586904,36819.887054112405,28889.798828542003,5221.2239263192405,5954.5669572855,-0.560365364822706,-2.43245441171573
