,index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
0,1,1,1,3.31205,196.008946486365,46302.0978683332,32564.5206298699,83.69266770112759,50.940503628923395,42939.2866947293,29082.0331314913,5202.42129012974,5849.11242349859,-1.25288927153905,-2.1492259749762197
1,2,2,1,3.31205,213.555434854178,43523.3762938648,32564.5206298698,77.3475679568796,50.9405036289238,40053.8023044914,29082.0331314916,5185.84782306336,5849.112423498579,-1.4664568221789,-2.14922597497621
2,3,3,1,3.3252800000000002,122.10934913577101,40744.6547193964,32564.5206298698,71.0024682126316,50.9405036289238,37168.3179142535,29082.0331314916,5169.27435599698,5849.112423498579,-1.68002437281874,-2.14922597497621
3,4,4,1,3.33806,48.001120091077496,38216.8304034072,32564.5206298698,65.6305319783953,50.9405036289238,34546.1296288826,29082.0331314916,5165.430258832321,5849.112423498579,-1.85546239432732,-2.14922597497621
4,5,5,1,3.35055,24.487939552915698,35689.0060874179,32564.5206298698,60.258595744158896,50.9405036289238,31923.9413435116,29082.0331314916,5161.58616166767,5849.112423498579,-2.0309004158359,-2.14922597497621
5,6,6,1,3.3633699999999997,2.82619837819101,33263.515368587,32564.5206298698,55.29489925830379,50.9405036289238,29517.3119944846,29082.0331314916,5165.52680184378,5849.112423498579,-2.19062269316679,-2.14922597497621
6,7,7,1,3.37636,-26.6985995891296,30838.0246497562,32564.5206298698,50.331202772448705,50.9405036289238,27110.6826454575,29082.0331314916,5169.46744201989,5849.112423498579,-2.35034497049767,-2.14922597497621
7,8,8,1,3.389,-54.40198156773021,28671.413773906803,32564.5206298698,45.3647972811026,50.9405036289238,24858.0117385989,29082.0331314916,5166.26341772112,5849.112423498579,-2.5141353686502703,-2.14922597497621
8,9,9,1,3.4014800000000003,-56.64271591533111,26504.8028980573,32564.5206298698,40.398391789756495,50.9405036289238,22605.3408317402,29082.0331314916,5163.05939342236,5849.112423498579,-2.67792576680287,-2.14922597497621
9,10,10,1,3.41437,36.763160200776795,26599.295398485898,32564.5206298698,39.9180419980086,50.9405036289238,21631.2884086901,29082.0331314916,5153.5927300398,5849.112423498579,-2.6768014275880496,-2.14922597497621
10,11,11,1,3.42769,52.0444398846789,26693.787898914503,32564.5206298698,39.43769220626071,50.9405036289238,20657.23598564,29082.0331314916,5144.12606665725,5849.112423498579,-2.67567708837323,-2.14922597497621
11,12,12,1,3.44089,39.7298313643256,27502.706466500003,32564.5206298698,43.3076669781585,50.9405036289238,21006.8340480688,29082.0331314916,5117.866738126,5849.112423498579,-2.49440507105379,-2.14922597497621
12,13,1,1,3.45434,203.785067495314,28311.625034085497,32564.5206298698,47.1776417500564,50.9405036289238,21356.4321104975,29082.0331314916,5091.60740959476,5849.112423498579,-2.3131330537343504,-2.14922597497621
13,14,2,1,3.46715,79.67642197127,28374.8522009259,32564.5206298698,50.31386587402859,50.9405036289238,21816.8909823496,29082.0331314916,5062.98303019847,5849.112423498579,-2.15468767636225,-2.14922597497621
14,15,3,1,3.47983,49.032892963555206,28438.0793677663,32564.5206298698,53.4500899980009,50.9405036289238,22277.3498542017,29082.0331314916,5034.35865080218,5849.112423498579,-1.9962422989901498,-2.14922597497621
15,16,4,1,3.4924699999999995,68.4505010431683,28616.7935960453,32564.5206298698,53.837714657793995,50.9405036289238,23083.4975515391,29082.0331314916,5011.7123861406,5849.112423498579,-1.95607433804199,-2.14922597497621
16,17,5,1,3.50555,78.083214953969,28795.5078243243,32564.5206298698,54.225339317587,50.9405036289238,23889.6452488765,29082.0331314916,4989.066121479021,5849.112423498579,-1.91590637709383,-2.14922597497621
17,18,6,1,3.5185699999999995,57.7548324818841,30025.2845012467,32564.5206298698,54.18998758494579,50.9405036289238,25040.4579613735,29082.0331314916,4984.74679872478,5849.112423498579,-1.9020541358265,-2.14922597497621
18,19,7,1,3.5314400000000004,28.472503007697,31255.0611781691,32564.5206298698,54.154635852304494,50.9405036289238,26191.2706738705,29082.0331314916,4980.4274759705395,5849.112423498579,-1.8882018945591799,-2.14922597497621
19,20,8,1,3.54471,5.27718351400357,31665.7168601291,32564.5206298698,53.8405125657965,50.9405036289238,26730.618746086602,29082.0331314916,5036.33849842455,5849.112423498579,-1.8931899441610403,-2.14922597497621
20,21,9,1,3.55784,-16.4551439163018,32076.372542089,32564.5206298698,53.526389279288594,50.9405036289238,27269.966818302797,29082.0331314916,5092.249520878549,5849.112423498579,-1.8981779937629,-2.14922597497621
21,22,10,1,3.57061,3.56951333779994,31459.942204547402,32564.5206298698,51.3176911649378,50.9405036289238,27053.169723388197,29082.0331314916,5206.72641423788,5849.112423498579,-1.99614384230841,-2.14922597497621
22,23,11,1,3.5834699999999997,51.802021875219296,30843.511867005698,32564.5206298698,49.108993050586996,50.9405036289238,26836.3726284736,29082.0331314916,5321.2033075971995,5849.112423498579,-2.0941096908539096,-2.14922597497621
23,24,12,1,3.5969599999999997,48.7224958445384,30536.2918117407,32564.5206298698,46.01566287943971,50.9405036289238,26417.896369486698,29082.0331314916,5398.08485699089,5849.112423498579,-2.23532337472845,-2.14922597497621
24,25,1,1,3.60992,156.947519664457,30229.0717564756,32564.5206298698,42.9223327082924,50.9405036289238,25999.4201104998,29082.0331314916,5474.966406384579,5849.112423498579,-2.3765370586029904,-2.14922597497621
25,26,2,1,3.6232800000000003,117.34631103333099,30295.5077646231,32564.5206298698,41.72465167171271,50.9405036289238,25598.7456066463,29082.0331314916,5481.70339676125,5849.112423498579,-2.43645191780732,-2.14922597497621
26,27,3,1,3.6365300000000005,47.367718703867205,30361.943772770697,32564.5206298698,40.526970635133,50.9405036289238,25198.0711027927,29082.0331314916,5488.440387137921,5849.112423498579,-2.4963667770116498,-2.14922597497621
27,28,4,1,3.64969,37.5531080428769,30289.2833824767,32564.5206298698,41.2225485717018,50.9405036289238,24660.089129982596,29082.0331314916,5495.27870451601,5849.112423498579,-2.4641211727288903,-2.14922597497621
28,29,5,1,3.66245,17.6510340198198,30216.6229921827,32564.5206298698,41.918126508270504,50.9405036289238,24122.1071571725,29082.0331314916,5502.117021894101,5849.112423498579,-2.43187556844612,-2.14922597497621
