,index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
0,1,1,1.0,3.31609,49.4322617262421,25178.0471702918,32961.2431876371,32.6663647157073,55.15152048706079,22549.6253700974,26896.7932511892,5153.35864307917,6019.12054447224,-3.14481671328896,-1.86565204826249
1,2,2,0.9990000000000001,3.31609,49.8768083822319,26202.1282293693,32961.243187637,37.4012106464601,55.151520487061006,23154.100846679303,26896.7932511893,5169.2619412409795,6019.120544472211,-2.8760343771282297,-1.8656520482624999
2,3,3,0.998,3.3290699999999998,142.802832981602,27226.2092884467,32961.243187637,42.1360565772128,55.151520487061006,23758.5763232611,26896.7932511893,5185.165239402801,6019.120544472211,-2.6072520409675,-1.8656520482624999
3,4,4,0.997,3.34219,51.6905172654715,28052.441579976603,32961.243187637,45.812212240835,55.151520487061006,24311.8015927304,26896.7932511893,5194.09700911568,6019.120544472211,-2.39292769732459,-1.8656520482624999
4,5,5,0.996,3.35459,34.133921510278,28878.6738715065,32961.243187637,49.4883679044571,55.151520487061006,24865.0268621996,26896.7932511893,5203.0287788285705,6019.120544472211,-2.17860335368169,-1.8656520482624999
5,6,6,0.995,3.36778,82.5625321378556,29661.7862217751,32961.243187637,52.2553549881962,55.151520487061006,25397.981202692597,26896.7932511893,5206.24831612275,6019.120544472211,-2.01533502176917,-1.8656520482624999
6,7,7,0.9940000000000001,3.3805300000000003,72.588519683213,30444.8985720438,32961.243187637,55.0223420719353,55.151520487061006,25930.935543185697,26896.7932511893,5209.46785341694,6019.120544472211,-1.8520666898566598,-1.8656520482624999
7,8,8,0.993,3.3936900000000003,59.4166279312877,31014.974157302797,32961.243187637,57.444002946425506,55.151520487061006,26309.581844070497,26896.7932511893,5217.54670818629,6019.120544472211,-1.70927089864563,-1.8656520482624999
8,9,9,0.992,3.4063199999999996,35.738285965987004,31585.0497425618,32961.243187637,59.86566382091561,55.151520487061006,26688.228144955297,26896.7932511893,5225.62556295563,6019.120544472211,-1.5664751074346,-1.8656520482624999
9,10,10,0.991,3.4198699999999995,17.1395870696991,30726.5931350774,32961.243187637,59.193565042502,55.151520487061006,26317.779762539103,26896.7932511893,5216.95354899681,6019.120544472211,-1.57376161616585,-1.8656520482624999
10,11,11,0.99,3.4323099999999998,80.2058970091928,29868.136527592997,32961.243187637,58.5214662640884,55.151520487061006,25947.3313801229,26896.7932511893,5208.28153503799,6019.120544472211,-1.5810481248971102,-1.8656520482624999
11,12,12,0.9890000000000001,3.4452199999999995,52.165955632332896,30143.5578899325,32961.243187637,56.42923754851629,55.151520487061006,26028.3990041158,26896.7932511893,5152.41064519024,6019.120544472211,-1.69772008152843,-1.8656520482624999
12,13,1,0.988,3.45814,49.0906923198205,30418.979252272,32961.243187637,54.3370088329442,55.151520487061006,26109.4666281087,26896.7932511893,5096.5397553425,6019.120544472211,-1.81439203815974,-1.8656520482624999
13,14,2,0.987,3.4710900000000002,52.4203014265312,31374.022087921698,32961.243187637,54.61509251092879,55.151520487061006,26423.6186866832,26896.7932511893,5076.57059558951,6019.120544472211,-1.8267316051882199,-1.8656520482624999
14,15,3,0.986,3.48397,107.794404839369,32329.0649235713,32961.243187637,54.8931761889134,55.151520487061006,26737.770745257596,26896.7932511893,5056.60143583652,6019.120544472211,-1.8390711722167,-1.8656520482624999
15,16,4,0.985,3.49685,49.130037124824,33465.3129059075,32961.243187637,58.2567973680849,55.151520487061006,27236.7611959846,26896.7932511893,5090.45440269724,6019.120544472211,-1.69070559005961,-1.8656520482624999
16,17,5,0.9840000000000001,3.5100300000000004,32.219293061230104,34601.5608882437,32961.243187637,61.620418547256406,55.151520487061006,27735.7516467116,26896.7932511893,5124.307369557961,6019.120544472211,-1.54234000790252,-1.8656520482624999
17,18,6,0.983,3.52357,77.8261017850393,36019.474707041896,32961.243187637,67.15058141889921,55.151520487061006,28579.7786036654,26896.7932511893,5191.85633032784,6019.120544472211,-1.2968045372601,-1.8656520482624999
18,19,7,0.982,3.5367,77.3707703510602,37437.3885258402,32961.243187637,72.6807442905421,55.151520487061006,29423.8055606191,26896.7932511893,5259.405291097721,6019.120544472211,-1.0512690666176898,-1.8656520482624999
19,20,8,0.981,3.5493900000000003,67.26818207686911,40415.7532084799,32961.243187637,80.7920409364889,55.151520487061006,31776.105420717002,26896.7932511893,5354.51747651748,6019.120544472211,-0.7439408271387871,-1.8656520482624999
20,21,9,0.98,3.56198,42.1969067558825,43394.117891119706,32961.243187637,88.9033375824358,55.151520487061006,34128.4052808148,26896.7932511893,5449.62966193725,6019.120544472211,-0.43661258765989,-1.8656520482624999
21,22,10,0.9790000000000001,3.5754099999999998,103.87392108371,44888.5847089036,32961.243187637,95.28215028551858,55.151520487061006,36304.2711487748,26896.7932511893,5489.6033197458,6019.120544472211,-0.23242558882470998,-1.8656520482624999
22,23,11,0.978,3.58826,51.567544748591004,46383.0515266875,32961.243187637,101.660962988601,55.151520487061006,38480.1370167349,26896.7932511893,5529.57697755435,6019.120544472211,-0.0282385899895299,-1.8656520482624999
23,24,12,0.977,3.6010199999999997,46.9840846501673,45883.156511820096,32961.243187637,102.88956580145,55.151520487061006,39221.45821143,26896.7932511893,5489.576687688161,6019.120544472211,-0.0323705146307002,-1.8656520482624999
24,25,1,0.976,3.61395,164.988490920195,45383.2614969527,32961.243187637,104.118168614299,55.151520487061006,39962.7794061251,26896.7932511893,5449.57639782197,6019.120544472211,-0.0365024392718706,-1.8656520482624999
25,26,2,0.975,3.6272900000000003,141.070858196651,43914.5109408711,32961.243187637,102.19520303429,55.151520487061006,39020.9268524877,26896.7932511893,5397.82784959192,6019.120544472211,-0.140501632448792,-1.8656520482624999
26,27,3,0.9740000000000001,3.6401199999999996,261.809118188025,42445.7603847894,32961.243187637,100.27223745428002,55.151520487061006,38079.0742988503,26896.7932511893,5346.07930136187,6019.120544472211,-0.24450082562571399,-1.8656520482624999
27,28,4,0.973,3.65315,161.035186775639,40254.275606999305,32961.243187637,98.04358292484591,55.151520487061006,35962.7579162201,26896.7932511893,5321.184434926579,6019.120544472211,-0.31226178250532394,-1.8656520482624999
28,29,5,0.972,3.66561,78.0655853636519,38062.790829209305,32961.243187637,95.8149283954113,55.151520487061006,33846.44153359,26896.7932511893,5296.28956849129,6019.120544472211,-0.3800227393849339,-1.8656520482624999
29,30,6,0.971,3.67844,62.2501299657262,34680.963158681,32961.243187637,91.1864713696235,55.151520487061006,31204.5996372179,26896.7932511893,5296.08814732311,6019.120544472211,-0.5031692464877849,-1.8656520482624999
30,31,7,0.97,3.6914599999999997,38.7872987708338,31299.1354881527,32961.243187637,86.5580143438358,55.151520487061006,28562.757740845802,26896.7932511893,5295.886726154939,6019.120544472211,-0.626315753590636,-1.8656520482624999
31,32,8,0.9690000000000001,3.70448,55.534016113282206,27102.3102788478,32961.243187637,77.1489506602526,55.151520487061006,25374.7547348227,26896.7932511893,5340.9222911286,6019.120544472211,-0.939698682355733,-1.8656520482624999
32,33,9,0.968,3.71748,32.083858203651,22905.4850695428,32961.243187637,67.7398869766694,55.151520487061006,22186.751728799598,26896.7932511893,5385.95785610225,6019.120544472211,-1.25308161112083,-1.8656520482624999
33,34,10,0.9670000000000001,3.73075,32.4147941351185,20199.3360273699,32961.243187637,57.5837489170348,55.151520487061006,19258.3941832041,26896.7932511893,5443.15139697981,6019.120544472211,-1.64251963593692,-1.8656520482624999
34,35,11,0.966,3.74387,47.24130994429171,17493.1869851971,32961.243187637,47.42761085740021,55.151520487061006,16330.0366376087,26896.7932511893,5500.3449378573705,6019.120544472211,-2.03195766075302,-1.8656520482624999
35,36,12,0.965,3.75662,38.8419334422779,17118.7043944949,32961.243187637,40.365826971740105,55.151520487061006,15161.1579241081,26896.7932511893,5549.914462455789,6019.120544472211,-2.35522835277233,-1.8656520482624999
36,37,1,0.9640000000000001,3.76948,48.8494894178041,16744.2218037927,32961.243187637,33.30404308608,55.151520487061006,13992.2792106074,26896.7932511893,5599.48398705421,6019.120544472211,-2.67849904479165,-1.8656520482624999
37,38,2,0.963,3.7825699999999998,57.147916243431204,17554.0835826245,32961.243187637,29.125342169015497,55.151520487061006,14092.188827645701,26896.7932511893,5631.0540303160105,6019.120544472211,-2.88576883803231,-1.8656520482624999
38,39,3,0.9620000000000001,3.7954199999999996,44.843055750575,18363.9453614562,32961.243187637,24.946641251950997,55.151520487061006,14192.098444684,26896.7932511893,5662.62407357781,6019.120544472211,-3.09303863127298,-1.8656520482624999
39,40,4,0.961,3.8084300000000004,27.115564581146003,20828.1596732572,32961.243187637,25.037745663872105,55.151520487061006,15560.129564416398,26896.7932511893,5715.11791491432,6019.120544472211,-3.08627046199274,-1.8656520482624999
40,41,5,0.96,3.8216300000000003,13.0355302426596,23292.3739850582,32961.243187637,25.1288500757932,55.151520487061006,16928.1606841488,26896.7932511893,5767.61175625083,6019.120544472211,-3.0795022927125095,-1.8656520482624999
41,42,6,0.9590000000000001,3.8349800000000003,12.2993108334063,27684.620294611097,32961.243187637,31.3110948670607,55.151520487061006,19834.1636012529,26896.7932511893,5813.51644130457,6019.120544472211,-2.81913029038693,-1.8656520482624999
42,43,7,0.958,3.84754,-8.18514246779659,32076.8666041641,32961.243187637,37.4933396583282,55.151520487061006,22740.1665183571,26896.7932511893,5859.42112635831,6019.120544472211,-2.5587582880613398,-1.8656520482624999
43,44,8,0.9570000000000001,3.86067,-2.760508706336,35683.7111226021,32961.243187637,46.2103914968015,55.151520487061006,26149.812582026098,26896.7932511893,5898.03120617686,6019.120544472211,-2.2210815675629396,-1.8656520482624999
44,45,9,0.956,3.87393,12.4916580790355,39290.5556410401,32961.243187637,54.927443335274894,55.151520487061006,29559.458645695096,26896.7932511893,5936.641285995401,6019.120544472211,-1.8834048470645401,-1.8656520482624999
45,46,10,0.955,3.8867199999999995,48.9724950595716,42043.769384177904,32961.243187637,61.214449783721705,55.151520487061006,32949.4479508452,26896.7932511893,5947.40726210755,6019.120544472211,-1.6525076921356001,-1.8656520482624999
46,47,11,0.9540000000000001,3.89941,45.1937321600581,44796.9831273158,32961.243187637,67.50145623216851,55.151520487061006,36339.4372559954,26896.7932511893,5958.17323821969,6019.120544472211,-1.4216105372066599,-1.8656520482624999
47,48,12,0.953,3.912,47.106873207658204,46312.063454215306,32961.243187637,71.0406785601751,55.151520487061006,38474.564434848704,26896.7932511893,5933.54977106106,6019.120544472211,-1.30246505798763,-1.8656520482624999
48,49,1,0.9520000000000001,3.92538,216.127770726772,47827.1437811149,32961.243187637,74.5799008881816,55.151520487061006,40609.691613702,26896.7932511893,5908.926303902429,6019.120544472211,-1.1833195787686002,-1.8656520482624999
49,50,2,0.951,3.93836,207.850647426523,47280.983774199805,32961.243187637,75.7759049087981,55.151520487061006,40657.3227404665,26896.7932511893,5837.936946104201,6019.120544472211,-1.14955206953873,-1.8656520482624999
50,51,3,0.95,3.95146,76.9605514941732,46734.823767284695,32961.243187637,76.9719089294146,55.151520487061006,40704.953867231,26896.7932511893,5766.94758830597,6019.120544472211,-1.11578456030886,-1.8656520482624999
51,52,4,0.9490000000000001,3.96414,48.7159453730818,43675.0137816325,32961.243187637,75.2706440800352,55.151520487061006,38399.0238765812,26896.7932511893,5707.461686803871,6019.120544472211,-1.16003802689491,-1.8656520482624999
52,53,5,0.948,3.97745,86.4430353334192,40615.2037959803,32961.243187637,73.5693792306558,55.151520487061006,36093.093885931296,26896.7932511893,5647.97578530178,6019.120544472211,-1.2042914934809699,-1.8656520482624999
53,54,6,0.9470000000000001,3.99025,77.21937329175091,36581.1074722737,32961.243187637,68.9339908917278,55.151520487061006,32735.8622627942,26896.7932511893,5612.805425238011,6019.120544472211,-1.32993034589386,-1.8656520482624999
54,55,7,0.946,4.00317,46.6303529411949,32547.011148567002,32961.243187637,64.29860255279971,55.151520487061006,29378.630639657098,26896.7932511893,5577.63506517424,6019.120544472211,-1.4555691983067598,-1.8656520482624999
55,56,8,0.945,4.01623,17.242744358983,30161.279419798702,32961.243187637,58.242696539543196,55.151520487061006,27056.546806297403,26896.7932511893,5604.19713259022,6019.120544472211,-1.6510110524900201,-1.8656520482624999
56,57,9,0.9440000000000001,4.02951,9.975131515038472,27775.5476910304,32961.243187637,52.1867905262866,55.151520487061006,24734.4629729376,26896.7932511893,5630.7592000062095,6019.120544472211,-1.8464529066732902,-1.8656520482624999
57,58,10,0.943,4.04244,29.2456963385886,27979.8025789974,32961.243187637,49.07887484998611,55.151520487061006,24052.8414156607,26896.7932511893,5745.07610024225,6019.120544472211,-1.97397449635529,-1.8656520482624999
58,59,11,0.9420000000000001,4.05524,29.966392131941,28184.057466964503,32961.243187637,45.970959173685706,55.151520487061006,23371.2198583838,26896.7932511893,5859.3930004783,6019.120544472211,-2.10149608603729,-1.8656520482624999
59,60,12,0.941,4.0682,35.7548608195192,28664.3812489185,32961.243187637,45.050261252693396,55.151520487061006,23285.058175811802,26896.7932511893,5989.6754984197105,6019.120544472211,-2.16746510536351,-1.8656520482624999
60,61,1,0.94,4.08102,49.654763979923295,29144.7050308726,32961.243187637,44.1295633317012,55.151520487061006,23198.896493239903,26896.7932511893,6119.95799636112,6019.120544472211,-2.23343412468973,-1.8656520482624999
61,62,2,0.9390000000000001,4.094119999999999,51.202343340995206,30453.4430085189,32961.243187637,45.740062783191206,55.151520487061006,23870.1971212962,26896.7932511893,6174.261397020279,6019.120544472211,-2.18660023552424,-1.8656520482624999
62,63,3,0.938,4.10729,48.5088415527895,31762.1809861652,32961.243187637,47.350562234681206,55.151520487061006,24541.4977493525,26896.7932511893,6228.56479767944,6019.120544472211,-2.13976634635875,-1.8656520482624999
63,64,4,0.937,4.1199699999999995,99.21066532755279,33300.2496425577,32961.243187637,50.6145828113186,55.151520487061006,25748.2994324044,26896.7932511893,6276.77294081878,6019.120544472211,-1.9905371014587598,-1.8656520482624999
64,65,5,0.9359999999999999,4.13287,66.0008706371761,34838.3182989503,32961.243187637,53.878603387956105,55.151520487061006,26955.1011154562,26896.7932511893,6324.9810839581105,6019.120544472211,-1.84130785655877,-1.8656520482624999
65,66,6,0.935,4.14577,69.333313320799,35618.015144877405,32961.243187637,57.5356416307141,55.151520487061006,27602.8636331433,26896.7932511893,6402.0068712088405,6019.120544472211,-1.6627435753217399,-1.8656520482624999
66,67,7,0.934,4.1585,63.751648800587,36397.7119908046,32961.243187637,61.1926798734721,55.151520487061006,28250.6261508305,26896.7932511893,6479.0326584595705,6019.120544472211,-1.48417929408472,-1.8656520482624999
67,68,8,0.9329999999999999,4.17167,48.50473255934261,35103.9661085986,32961.243187637,63.1452630550658,55.151520487061006,27540.228662077003,26896.7932511893,6491.3676539402295,6019.120544472211,-1.39640366166031,-1.8656520482624999
68,69,9,0.932,4.1846,35.8977365675169,33810.2202263926,32961.243187637,65.0978462366596,55.151520487061006,26829.831173323502,26896.7932511893,6503.70264942089,6019.120544472211,-1.3086280292358998,-1.8656520482624999
69,70,10,0.9309999999999999,4.19787,47.0124809418565,31112.795095638998,32961.243187637,62.56027144949161,55.151520487061006,25302.956042703798,26896.7932511893,6410.22106016395,6019.120544472211,-1.42933479956227,-1.8656520482624999
70,71,11,0.93,4.21097,47.714792646354105,28415.3699648854,32961.243187637,60.0226966623236,55.151520487061006,23776.080912084,26896.7932511893,6316.73947090702,6019.120544472211,-1.5500415698886398,-1.8656520482624999
71,72,12,0.929,4.2236,44.8706551606252,26605.069223452596,32961.243187637,53.964942472528804,55.151520487061006,22687.157065717798,26896.7932511893,6238.65739426453,6019.120544472211,-1.84447283909303,-1.8656520482624999
72,73,1,0.9279999999999999,4.23666,36.78816418579729,24794.7684820198,32961.243187637,47.9071882827339,55.151520487061006,21598.233219351598,26896.7932511893,6160.57531762205,6019.120544472211,-2.13890410829742,-1.8656520482624999
73,74,2,0.927,4.24951,169.629575410874,23693.999742839198,32961.243187637,40.473572086834004,55.151520487061006,20726.6518954476,26896.7932511893,6148.31891474701,6019.120544472211,-2.51754836368348,-1.8656520482624999
74,75,3,0.9259999999999999,4.26276,49.695575501122,22593.2310036586,32961.243187637,33.039955890934,55.151520487061006,19855.0705715436,26896.7932511893,6136.062511871961,6019.120544472211,-2.89619261906955,-1.8656520482624999
75,76,4,0.925,4.27548,46.9809927206494,22072.3901451749,32961.243187637,26.988242901473697,55.151520487061006,18834.494598478,26896.7932511893,6115.144079361079,6019.120544472211,-3.1980050271219396,-1.8656520482624999
76,77,5,0.924,4.28814,27.770371269858604,21551.549286691297,32961.243187637,20.9365299120134,55.151520487061006,17813.9186254124,26896.7932511893,6094.2256468502,6019.120544472211,-3.49981743517433,-1.8656520482624999
77,78,6,0.9229999999999999,4.30141,12.6700035344901,22385.4786122946,32961.243187637,18.6167437056623,55.151520487061006,17814.041035724,26896.7932511893,6112.253408058721,6019.120544472211,-3.5964814082132,-1.8656520482624999
78,79,7,0.922,4.31439,-14.5141508913882,23219.407937898,32961.243187637,16.296957499311198,55.151520487061006,17814.1634460355,26896.7932511893,6130.281169267249,6019.120544472211,-3.6931453812520703,-1.8656520482624999
79,80,8,0.9209999999999999,4.3272,-38.488282032293704,23519.2148547825,32961.243187637,14.839160153693099,55.151520487061006,17977.7061403788,26896.7932511893,6249.62461461508,6019.120544472211,-3.7346627489976094,-1.8656520482624999
80,81,9,0.92,4.33968,-63.9252667933796,23819.021771667,32961.243187637,13.381362808074998,55.151520487061006,18141.2488347221,26896.7932511893,6368.96805996291,6019.120544472211,-3.77618011674314,-1.8656520482624999
