,index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
0,1,1,1.0,3.31144,52.9427639030052,66698.8530369041,32650.9677282784,116.733016129545,57.3428835155116,57640.454964629804,26244.601892941202,4146.99050878216,5936.737019998979,-0.30381027514298803,-1.7854647176099998
1,2,2,0.9985,3.31144,238.980386098193,64890.9847464775,32650.9677282782,117.38941455081002,57.342883515511105,56268.4009698903,26244.601892941202,4312.001630620221,5936.737019998989,-0.152508638098513,-1.78546471761002
2,3,3,0.997,3.32367,247.526138853647,63083.1164560509,32650.9677282782,118.04581297207599,57.342883515511105,54896.3469751508,26244.601892941202,4477.0127524582795,5936.737019998989,-0.00120700105403864,-1.78546471761002
3,4,4,0.9955,3.3368599999999997,140.82762386463997,61604.8157595642,32650.9677282782,118.819662702902,57.342883515511105,53878.9870337318,26244.601892941202,4620.79577156839,5936.737019998989,0.132143775681611,-1.78546471761002
4,5,5,0.9940000000000001,3.3496099999999998,83.6489794232568,60126.5150630776,32650.9677282782,119.59351243372801,57.342883515511105,52861.6270923129,26244.601892941202,4764.57879067849,5936.737019998989,0.265494552417261,-1.78546471761002
5,6,6,0.9925,3.3626699999999996,54.00686593637649,58591.778975172594,32650.9677282782,119.952979245007,57.342883515511105,52015.842925343095,26244.601892941202,4879.01798828464,5936.737019998989,0.362265519699058,-1.78546471761002
6,7,7,0.991,3.3753,74.64107812310999,57057.04288726769,32650.9677282782,120.312446056287,57.342883515511105,51170.0587583734,26244.601892941202,4993.457185890779,5936.737019998989,0.459036486980856,-1.78546471761002
7,8,8,0.9895,3.3884800000000004,78.0181100035132,54996.274341684104,32650.9677282782,119.365408319494,57.342883515511105,49958.3861698668,26244.601892941202,5100.5410649695705,5936.737019998989,0.502063536846991,-1.78546471761002
8,9,9,0.988,3.40151,75.49048538563329,52935.505796100595,32650.9677282782,118.41837058270201,57.342883515511105,48746.7135813601,26244.601892941202,5207.62494404836,5936.737019998989,0.545090586713125,-1.78546471761002
9,10,10,0.9865,3.41477,200.355489239025,51649.4699634316,32650.9677282782,116.03574200240801,57.342883515511105,47463.520738490195,26244.601892941202,5259.42965382253,5936.737019998989,0.48327422123599606,-1.78546471761002
